SIREN,Date création établissement,Code APE,Adresse,Nom société 1,Nom société 2,Nom société 3,Nom société 4,Nom société 5,Prénom contact,Nom contact,Code postal,Ville,Téléphone,Email
﻿848426664,2022-08-23,1071CB,"4 RUE MARCELLIN GIRINON,  ",LA BOULANGE DES MATRUS,,LA BOULANGE DES MATRUS,,,,,42160,ANDREZIEUX-BOUTHEON,,
﻿848849071,2021-12-15,,"3 RUE DES PLANTEES,  ",DC LA PIZZ',,BOULANGERIE PATISSERIE DEGERINE,,,,,74800,SAINT-PIERRE-EN-FAUCIGNY,,
﻿851019232,2020-05-24,1071CB,"116 RTE D'AIX LES BAINS,  ",SARL PERRET FRERES,,CHEZ L'BOULANGER,,CHEZ L'BOULANGER,,,73310,CHINDRIEUX,,
﻿877530899,2021-08-01,1071CB,"21 RUE DU COMMERCE,  ",BOULANGERIE S.M.E.,,,,CHEZ DJO,,,42620,SAINT MARTIN D'ESTREAUX,,
﻿877822452,2022-06-07,,"17 RUE SAINT-PHILIBERT,  ",PASSION PAIN,,,,PASSION PAIN,,,42320,CELLIEU,,
﻿880361217,2020-01-08,,"34 PL MARCEL GAIMARD,  ",1928,,,,AUX DELICES DE TARENTAISE,,,73700,BOURG-SAINT-MAURICE,,
﻿880627468,2020-01-15,1071CB,"24 RTE DU TUNNEL,  ",MALOEM,,BOULANGERIE DU LAC,,BOULANGERIE DU LAC,,,73370,LE BOURGET-DU-LAC,,
﻿880628318,2020-01-06,1071CB,"34 RUE GABRIEL PERI,  ",O'FOURNIL STEPHANOIS,,,,,,,42100,SAINT-ETIENNE,,
﻿880670112,2020-01-16,1071CB,"2 RUE FRANCIS GARNIER,  ",LE COIN DES GOURMANDS,,,,LE COIN DES GOURMANDS,,,42530,SAINT-GENEST-LERPT,477902781,melanie.fourbon@laposte.net
﻿880894597,2020-01-21,1071CB,"46 RTE DE LA DEVISE,  ",J&M EPI D'OR,,J&M EPI D'OR,,,,,71470,LA CHAPELLE-THECLE,,
﻿881026611,2020-01-28,,"10 PL DU CRETET,  ",L'ACCORD DES PAINS,,L'ATELIER PAPILLES,,L'ATELIER PAPILLES,,,74300,CLUSES,450936858,brunocaudron77@gmail.com
﻿881042196,2020-01-28,1071CB,"59 RUE JEAN JAURES,  ",VALETTE,,,,,,,42320,LA GRAND-CROIX,,
﻿881092340,2020-03-11,1071CA,"1167 RTE DE MONTFERMIER,  ",,,L'EPI-CURIEUX,,,THIBAULT,PERRET,42170,SAINT-JUST-SAINT-RAMBERT,,
﻿881106215,2020-02-14,,"  ,  IMMEUBLE LA MADELEINE",ROSTE,,,,LES MARMOTTES,,,73130,SAINT FRANCOIS LONGCHAMP,,
﻿881150809,2020-12-14,1071CB,"5 RUE DES GRANDES VIGNES,  ",,,LE BOULPAT DE SECOURS,,,GUILLAUME,POIZAT,71260,SENOZAN,,
﻿881296495,2020-02-05,1071CB,"92 RUE DE LA REPUBLIQUE,  ",L'ART DES TRADITIONS,,L'ART DES TRADITIONS,,L'ART DES TRADITIONS,,,42740,SAINT-PAUL-EN-JAREZ,,
﻿881332894,2020-01-05,1071CB,"1071 RUE DES ILES,  ",BOULANGERIE PATISSERIE GENOUD PRACHEX,,,,,,,74950,SCIONZIER,,
﻿881481279,2020-02-11,1071CB,"8 RUE DE L HOTEL DIEU,  ",LA PRINCESSE,,,,,,,74200,THONON-LES-BAINS,,
﻿881710594,2020-01-17,1071CB,"1 PL DU RONDEAU,  ",SAS MOULIN DU RONDEAU,,MOULIN DU RONDEAU,,MOULIN DU RONDEAU,,,73100,AIX-LES-BAINS,986206001,boulangeriemoulindurondeau@gmail.com
﻿881775076,2020-02-20,1071CB,"18 RUE DES ARCHES,  ",DGLC,,,,AU PAIN PERDU - D. GRANET,,,42600,MONTBRISON,,
﻿881824908,2020-02-19,1071CB,"23 RTE DU CHEF LIEU,  RESIDENCE LES PRO BLANCS",BOULANGERE PATISSERIE LAVERGNAS,,,,,,,74500,LUGRIN,,
﻿881856215,2020-02-17,1071CB,"18  GRANDE RUE,  ",EURL JULIEN SANTINA,,,,AU FOURNIL DE LUNA,,,71270,BELLEVESVRE,,
﻿881946552,2020-02-26,1071CA,"10 RUE DE LA REPUBLIQUE,  ",RIFFARD,,,,,,,42510,BALBIGNY,,
﻿882027659,2020-02-26,1071CA,"72 RUE CENTRALE,  ",NOLY FRANCK - ARTISAN BOULANGER,,,,,,,71800,LA CLAYETTE,,
﻿882051568,2020-03-01,1071CB,"  LE BOURG,  ",JUGNIER LAURENT,,LA BON'HEURE,,LA BON'HEURE,,,71220,LE ROUSSET-MARIZY,,
﻿882182892,2020-03-04,1071CB,"119 RUE RICHELANDIERE,  ",LA GOURMANDISE,,AUX DELICES DE LA RICHELANDIERE,,,,,42100,SAINT-ETIENNE,,
﻿882212855,2020-03-05,1071CB,"1068 RTE NATIONALE 6,  ",MAISON LACAND,,MAISON LACAND,,,,,71570,ROMANECHE-THORINS,,
﻿882488265,2020-03-16,1071CB,"3 RUE POINTE CADET,  ",CEVALFERY,,LA  BOULANGERIE DE SAINT JACQUES,,,,,42000,SAINT-ETIENNE,,
﻿882583081,2020-03-20,1071CB,"16 AV J F KENNEDY,  ",SECRETS DE PAIN,,,,,,,71100,CHALON-SUR-SAONE,,
﻿882768849,2020-04-03,,"8 PL HOTEL DE VILLE,  ",TIM CALINE,,,,LA MIE CALINE,,,42000,SAINT-ETIENNE,,
﻿882837024,2020-03-02,1071CA," PL DES MARCS,  ",L'AMIE DU COEUR,,,,,,,71570,SAINT-AMOUR-BELLEVUE,,
﻿883226649,2020-05-06,1071CB,"10 RUE DENFERT ROCHEREAU,  ",TRIOMPHE THIERRY,,,,,,,42260,SAINT-GERMAIN-LAVAL,,
﻿883254377,2020-05-07,1071CB,"260 ALL PROMENADE DES BORDS DU LAC,  ",BOULANGERIE PATISSERIE DU LAC,,,,,,,73100,AIX-LES-BAINS,,
﻿883324584,2020-06-03,1071CB,"  LE BOURG,  ",,,LE FOURNIL DE BUFFIERES,,LE FOURNIL DE BUFFIERES,NICOLAS,CHASSY,71250,BUFFIERES,,
﻿883327496,2020-05-06,1071CB,"449 RTE DES GRANDES ALPES,  ",BOULANGERIE MANIEZ,,BOULANGERIE MANIEZ,,BOULANGERIE MANIEZ,,,74220,LA CLUSAZ,450234057,boulangeriemaniez@gmail.com
﻿883356750,2020-04-22,1071CB,"1 RUE DE GENEVE,  ",LE FOURNIL DE JANIN,,MAISON JANIN,,MAISON JANIN,,,74100,AMBILLY,,
﻿883718322,2020-04-25,1071CB,"33 RUE DU 8 MAI 1945,  ",REGIS MATHIAS,,AU PETRIN GOURMAND,,,,,71170,CHAUFFAILLES,,
﻿883764680,2020-05-30,1071CB,"17 PL GARDON,  ",LA GARDONNOISE,,,,,,,71000,MACON,,
﻿883792129,2020-05-20,1071CB,"15 RUE EDITH PIAF,  ",LE PLATEAU DES DOUCEURS DE SAINT-JEAN,,,,,,,71100,CHALON-SUR-SAONE,,
﻿883838898,2020-06-03,1071CB,"25 RUE RAVEZ,  ",AU SOLEIL DU DELICE,,,,,,,42800,GENILAC,,
﻿884059866,2020-05-16,1071CB,"16 AV DE LA LIBERATION,  ",BOULANGERIE LASKA II,,,,BAGUETTES SANDWICHS ET TRADITIONS,,,42340,VEAUCHE,,
﻿884118480,2020-05-25,1071CB,"17  LE BOURG,  ",DUMONTET,,,,,,,71570,LA CHAPELLE-DE-GUINCHAY,,
﻿884295742,2020-06-17,1071CB,"26 AV DE ROCHETAILLEE,  ",AUX DELICES DE CHLOE,,AUX DELICES DE CHLOE,,AUX DELICES DE CHLOE,,,42100,SAINT-ETIENNE,,
﻿884510165,2020-05-18,1071CB,"3 PL DORIAN,  ",R-SAID,,R-SAID,,,,,42400,SAINT-CHAMOND,,
﻿884555251,2020-05-15,1071CB,"  ESP PAUL ET GUY VANTAJOL,  ",FOURNIL TERNOIR,,,,,,,42000,SAINT-ETIENNE,,
﻿884587528,2020-07-01,1071CB,"36 PL DE L'ALBANAIS,  ",BOULANGERIE DE L'ALBANAIS,,,,,,,74150,MARCELLAZ-ALBANAIS,,
﻿884703000,2020-07-01,1071CB,"83 RUE LOUIS SOULIE,  ",LA CITADELLE,,LA CITADELLE,,,,,42000,SAINT-ETIENNE,,
﻿884708975,2022-07-25,,"250  RTE DE BOURGOGNE,  ",LE FOURNIL DE GEVINGEY,,,,LE FOURNIL DE BEAUREPAIRE,,,71580,BEAUREPAIRE-EN-BRESSE,,
﻿885042358,2020-07-10,1071CB,"1420  ROUTE DEPARTEMENTALE 925 ,  LOTISSEMENT LA FORET",ALLAIS TRADITION,,,,,,,73200,GRIGNON,,
﻿885118075,2020-07-15,1071CB,"304 RTE DES BELLEDONNES,  ",BOULANGERIE VARCIN,,,,,,,73800,MYANS,,
